,Name,Region,Area,Sub-area,Length,Gain,Max Elevation
0,Spray Park,Mount Rainier Area,NW,Carbon River/Mowich,8.0,1700,6500.0
1,De Roux Creek - Gallagher Head Lake,Snoqualmie Region,Salmon La Sac/Teanaway,,8.0,1900,5600.0
2,Lake Ann (Mount Baker Highway),North Cascades,Mount Baker Area,,8.2,1900,4900.0
3,Shriner Peak,Mount Rainier Area,SE,Cayuse Pass/Steven's Canyon,8.5,3434,5834.0
4,Alta Mountain,Snoqualmie Region,Snoqualmie Pass,,12.0,3300,6151.0
5,Sauer's Mountain,Central Cascades,Stevens Pass,East,6.0,2000,3116.0
6,McCormick Forest Park,Olympic Peninsula,Kitsap Peninsula,,3.0,200,400.0
7,Crystal Lakes,Mount Rainier Area,NE,Sunrise/White River,6.0,2600,5828.0
8,Talapus and Olallie Lakes,Snoqualmie Region,Snoqualmie Pass,,6.2,1220,3780.0
9,Green Mountain - Wildcat Trail,Olympic Peninsula,Kitsap Peninsula,,9.5,1900,1639.0
10,Deception Pass State Park - Goose Rock,Puget Sound and Islands,Whidbey Island,,4.3,484,484.0
11,Columbia Plateau Trail - Fish Lake,Eastern Washington,Spokane Area/Coeur d'Alene,,7.5,200,2277.0
12,Kettle Crest South ,Eastern Washington,Okanogan Highlands/Kettle River Range,,5.0,900,6500.0
13,Marmot Pass via Upper Dungeness River Trail,Olympic Peninsula,Hood Canal,,16.2,3500,6000.0
14,Cascade Pass and Sahale Arm,North Cascades,North Cascades Highway,Hwy 20,12.0,4000,7570.0
15,Ancient Lakes,Central Washington,Wenatchee,,12.0,625,1200.0
16,South Coast Wilderness Trail - Toleak Point,Olympic Peninsula,Pacific Coast,,17.0,250,250.0
17,Mount Pilchuck,North Cascades,Mountain Loop Highway,,5.4,2300,5327.0
18,Lake Valhalla,Central Cascades,Stevens Pass,East,7.0,1500,5050.0
19,Granite Mountain,Snoqualmie Region,Snoqualmie Pass,,8.6,3800,5629.0
20,Melakwa Lake,Snoqualmie Region,Snoqualmie Pass,,8.5,2500,4600.0
21,Barclay Lake,Central Cascades,Stevens Pass,West,4.4,500,2423.0
22,Windy Ridge and Plains of Abraham,South Cascades,Mount St. Helens,,8.8,1400,4850.0
23,Wallace Falls State Park,Central Cascades,Stevens Pass,West,5.6,1300,1500.0
24,Chain Lakes Loop,North Cascades,Mount Baker Area,,8.0,1700,5400.0
25,Skyscraper Mountain,Mount Rainier Area,NE,Sunrise/White River,8.0,1300,7000.0
26,Easy Pass,North Cascades,North Cascades Highway,Hwy 20,7.0,2800,6500.0
27,The Enchantments,Central Cascades,Leavenworth Area,,18.0,4500,7800.0
28,Josephine Lake,Central Cascades,Stevens Pass,East,10.4,1800,5150.0
29,Dirty Harry's Balcony,Snoqualmie Region,Snoqualmie Pass,,4.2,1300,2600.0
30,Dirty Harry's Peak,Snoqualmie Region,Snoqualmie Pass,,7.6,3326,4662.0
31,Snow Lake,Snoqualmie Region,Snoqualmie Pass,,7.2,1800,4400.0
32,Gem Lake,Snoqualmie Region,Snoqualmie Pass,,10.0,1800,4857.0
33,Carbon Glacier,Mount Rainier Area,NW,Carbon River/Mowich,21.4,1000,3400.0
34,Mailbox Peak,Snoqualmie Region,North Bend Area,,9.4,4000,4822.0
35,Snowgrass Flat,South Cascades,Goat Rocks,,8.2,1600,5800.0
36,Vesper Peak,North Cascades,Mountain Loop Highway,,8.0,4200,6214.0
37,Skyline Trail Loop,Mount Rainier Area,SW,Longmire/Paradise,5.5,1450,6800.0
38,Colchuck Lake,Central Cascades,Leavenworth Area,,8.0,2280,5580.0
39,Rachel Lake,Snoqualmie Region,Snoqualmie Pass,,8.0,1600,4600.0
40,Green Mountain,North Cascades,Mountain Loop Highway,,8.5,3300,6500.0
41,Beckler Peak,Central Cascades,Stevens Pass,West,7.6,2240,5026.0
42,Big Gulch,Puget Sound and Islands,SeattleTacoma Area,,2.6,300,460.0
43,Clear Lost Trail to Lost Lake Lookout,South Cascades,White Pass/Cowlitz River Valley,,14.0,3897,6316.0
44,Three Lakes,Olympic Peninsula,Pacific Coast,,13.8,2850,3175.0
45,Copper Ridge Loop,North Cascades,Mount Baker Area,,34.0,8600,6260.0
46,Marshall's Hill,Issaquah Alps,Cougar Mountain,,2.4,,1005.0
47,Elk Mountain to Maiden Peak,Olympic Peninsula,Pacific Coast,,8.0,840,6625.0
48,Martin Creek Connector,Central Cascades,Stevens Pass,West,6.6,1260,3540.0
49,Lunds Gulch / Meadowdale Beach Park,Puget Sound and Islands,SeattleTacoma Area,,2.5,425,425.0
50,Iron Peak Loop,Snoqualmie Region,Salmon La Sac/Teanaway,,14.5,3600,6387.0
51,Spray Park Loop,Mount Rainier Area,NW,Carbon River/Mowich,16.0,5100,6375.0
52,Pine Lake,Olympic Peninsula,Hood Canal,,4.8,700,1830.0
